character_id,name,level,job_id,created_at,deleted_at
1,Marvin,35,5,2020-09-23 13:32:00,
2,Zach,62,3,2020-10-25 21:12:00,
3,Charlie,57,6,2020-12-05 10:15:00,
4,Tom,1,1,2020-12-05 18:40:00,
5,Ivan,39,2,2021-02-15 09:05:00,
6,Alice,42,5,2021-06-14 14:20:00,
7,Trudy,48,1,2021-11-28 19:10:00,
8,Bob,33,2,2022-03-22 11:45:00,
10,Oscar,44,1,2022-11-10 16:30:00,
11,Ellen,51,6,2022-08-30 20:55:00,
12,Dave,68,4,2023-01-19 15:08:00,
13,Mallet,64,6,2023-02-02 18:50:00,
14,Eve,46,3,2023-09-07 10:17:00,
16,Steve,70,4,2024-01-27 09:14:00,
17,Wendy,56,1,2024-03-18 10:56:00,
18,Carol,28,5,2024-05-11 11:42:00,
19,Jack,61,6,2024-07-12 15:43:00,
9,Walter,73,4,2022-04-06 22:10:00,2023-08-31 07:10:00
15,Trent,50,5,2023-10-04 17:20:00,2024-01-02 23:25:00
